Genes,Cytoband,Spearman's Correlation,p-Value,q-Value
TRIAP1,12q24.31,0.648962359,1.30E-17,2.76E-15
COPS3,17p11.2,0.647865083,1.53E-17,3.22E-15
MYO18A,17q11.2,-0.647502505,1.62E-17,3.34E-15
NDUFS3,11p11.2,0.647445255,1.63E-17,3.34E-15
PDZD11,Xq13.1,0.647416631,1.64E-17,3.34E-15
BUD23,7q11.23,0.646138066,1.99E-17,4.01E-15
PSMA1,11p15.2,0.646009255,2.02E-17,4.04E-15
ORC5,7q22.1-q22.2,0.644950146,2.37E-17,4.69E-15
NSMCE2,8q24.13,0.644578026,2.51E-17,4.87E-15
NME1,17q21.33,0.644563714,2.51E-17,4.87E-15
TXNDC17,17p13.1,0.644329946,2.60E-17,4.99E-15
KMT2D,12q13.12,-0.644153428,2.67E-17,5.08E-15
HTT,4p16.3,-0.643523687,2.94E-17,5.52E-15
MAGOHB,12p13.2,0.64285578,3.24E-17,6.04E-15
ANAPC10,4q31.21,0.642650637,3.34E-17,6.17E-15
TMEM128,4p16.3,0.642521826,3.41E-17,6.23E-15
SNRPE,1q32.1,0.642302371,3.52E-17,6.38E-15
MED31,17p13.1,0.642149707,3.60E-17,6.47E-15
GGH,8q12.3,0.641529507,3.94E-17,7.02E-15
PSMA5,1p13.3,0.64110968,4.20E-17,7.40E-15
ZCCHC2,18q21.33,-0.640785268,4.40E-17,7.70E-15
POLR2A,17p13.1,-0.640565813,4.55E-17,7.88E-15
GTF2A2,15q22.2,0.640327274,4.71E-17,8.09E-15
NT5C3A,7p14.3,0.639668909,5.19E-17,8.83E-15
SUMO1,2q33.1,0.638671819,6.00E-17,1.01E-14
TOMM7,7p15.3,0.637975287,6.64E-17,1.11E-14
GEMIN6,2p22.1,0.637836935,6.78E-17,1.13E-14
DDX47,12p13.1,0.63761748,7.00E-17,1.15E-14
KIF13A,6p22.3,-0.636935261,7.73E-17,1.26E-14
ZMIZ1,10q22.3,-0.636901865,7.76E-17,1.26E-14
UQCRQ,5q31.1,0.636563141,8.15E-17,1.30E-14
NISCH,3p21.1,-0.636548829,8.17E-17,1.30E-14
PDCD6,5p15.33,0.636458184,8.28E-17,1.31E-14
DPM1,20q13.13,0.635852297,9.04E-17,1.42E-14
BRIX1,5p13.2,0.635756882,9.16E-17,1.43E-14
CENPX,17q25.3,0.634988789,1.02E-16,1.58E-14
PLEKHM3,2q33.3,-0.634793187,1.05E-16,1.61E-14
SDHAF3,7q21.3,0.634506941,1.10E-16,1.67E-14
SRCAP,16p11.2,-0.633824722,1.21E-16,1.83E-14
LBHD1,11q12.3,0.632703592,1.42E-16,2.13E-14
UBE2N,12q22,0.632412576,1.48E-16,2.20E-14
MEF2D,1q22,-0.632350556,1.49E-16,2.20E-14
LARP4B,10p15.3,-0.631677878,1.64E-16,2.41E-14
STMP1,7q33,0.631391632,1.71E-16,2.49E-14
USP39,2p11.2,0.630108296,2.06E-16,2.97E-14
SARNP,12q13.2,0.629917466,2.11E-16,3.02E-14
VDAC3,8p11.21,0.62988407,2.12E-16,3.02E-14
NHP2,5q35.3,0.629774343,2.16E-16,3.04E-14
PRELID1,5q35.3,0.628648442,2.53E-16,3.52E-14
EIF3I,1p35.2,0.62863413,2.53E-16,3.52E-14
RBIS,8q21.2,0.628567339,2.56E-16,3.53E-14
MRPL13,8q24.12,0.628233386,2.68E-16,3.68E-14
PI4KA,22q11.21,-0.627522542,2.96E-16,4.03E-14
ERH,14q24.1,0.627088402,3.14E-16,4.26E-14
TEFM,17q11.2,0.625857545,3.73E-16,5.02E-14
BCL7C,16p11.2,0.62526597,4.06E-16,5.42E-14
CZIB,1p32.3,0.625094223,4.15E-16,5.51E-14
SNRPD2,19q13.2-q13.3,0.624970183,4.23E-16,5.57E-14
LARP1,5q33.2,-0.624125757,4.75E-16,6.22E-14
MRPS11,15q25.3,0.623734555,5.02E-16,6.52E-14
TIMM8B,11q23.1,0.623648681,5.08E-16,6.56E-14
TXNL1,18q21.31,0.623443538,5.22E-16,6.70E-14
IFT22,7q22.1,0.623209771,5.39E-16,6.88E-14
RP9P,7p14.3,0.623095272,5.48E-16,6.94E-14
POLR2G,11q12.3,0.623023711,5.53E-16,6.97E-14
CDKN2AIPNL,5q31.1,0.622451219,5.99E-16,7.49E-14
LAMTOR4,7q22.1,0.621974142,6.39E-16,7.95E-14
NXT1,20p11.21,0.621687897,6.65E-16,8.21E-14
CKS1B,1q21.3,0.621373026,6.94E-16,8.52E-14
HECTD4,12q24.13,-0.620714661,7.60E-16,9.27E-14
ZNF140,12q24.33,0.619913172,8.48E-16,1.03E-13
MAGOH,1p32.3,0.619750966,8.67E-16,1.04E-13
INTS12,4q24,0.619507657,8.96E-16,1.07E-13
PPP4C,16p11.2,0.619164162,9.39E-16,1.11E-13
TRNAU1AP,1p35.3,0.619130767,9.43E-16,1.11E-13
TXNDC12,1p32.3,0.619106913,9.46E-16,1.11E-13
MRPL58,17q25.1,0.618677544,1.00E-15,1.17E-13
WDR81,17p13.3,-0.618491484,1.03E-15,1.20E-13
NUDT1,7p22.3,0.618100281,1.09E-15,1.25E-13
NIF3L1,2q33.1,0.617737703,1.14E-15,1.31E-13
AP5B1,11q13.1,-0.617575497,1.17E-15,1.33E-13
IER3IP1,18q21.1,0.617503936,1.18E-15,1.34E-13
ADH5,4q23,0.616793092,1.29E-15,1.46E-13
MRPL51,12p13.31,0.615786461,1.48E-15,1.67E-13
CETN3,5q14.3,0.615543152,1.53E-15,1.71E-13
CCDC34,11p14.1,0.615481132,1.55E-15,1.72E-13
NDUFB2,7q34,0.615247364,1.59E-15,1.76E-13
TMA7,3p21.31,0.615118554,1.62E-15,1.78E-13
ATP5MC1,17q21.32,0.6150947,1.63E-15,1.78E-13
UBR4,1p36.13,-0.615013597,1.65E-15,1.79E-13
COA6,1q42.2,0.614579457,1.74E-15,1.88E-13
MAPKAPK5-AS1,12q24.12,0.613964028,1.89E-15,2.03E-13
SNRNP25,16p13.3,0.613329517,2.06E-15,2.20E-13
SNAPIN,1q21.3,0.613234101,2.09E-15,2.22E-13
OXSM,3p24.2,0.612685463,2.25E-15,2.37E-13
TPRKB,2p13.1,0.612318115,2.36E-15,2.48E-13
NPM1,5q35.1,0.6119126,2.49E-15,2.60E-13
PARL,3q27.1,0.611841038,2.51E-15,2.61E-13
TMEM218,11q24.2,0.611740852,2.55E-15,2.63E-13
RPL27A,11p15.4,0.611616812,2.59E-15,2.66E-13
SELENOH,11q12.1,0.611411669,2.66E-15,2.72E-13
SPCS1,3p21.1,0.611053862,2.79E-15,2.84E-13
HUWE1,Xp11.22,-0.610991842,2.81E-15,2.84E-13
COA4,11q13.4,0.61097753,2.82E-15,2.84E-13
ELP5,17p13.1,0.610834407,2.87E-15,2.86E-13
ZZEF1,17p13.2,-0.610834407,2.87E-15,2.86E-13
ZC3HC1,7q32.2,0.610438433,3.02E-15,3.00E-13
RAC1,7p22.1,0.610314393,3.07E-15,3.04E-13
WDR37,10p15.3,-0.609808692,3.29E-15,3.23E-13
FUNDC2,Xq28,0.608687563,3.81E-15,3.72E-13
RAB5IF,20q11.23,0.608162778,4.08E-15,3.97E-13
SELENOK,3p21.1,0.607881303,4.23E-15,4.10E-13
MRTO4,1p36.13,0.607762034,4.30E-15,4.12E-13
NDUFV2,18p11.22,0.607752493,4.30E-15,4.12E-13
IMMP1L,11p13,0.607723868,4.32E-15,4.12E-13
SRSF9,12q24.31,0.60767139,4.35E-15,4.13E-13
NDUFA9,12p13.3,0.607280187,4.58E-15,4.33E-13
NUDT6,4q28.1,0.607227709,4.61E-15,4.34E-13
EP300,22q13.2,-0.606774486,4.89E-15,4.58E-13
VPS29,12q24.11,0.606459615,5.09E-15,4.75E-13
PSMB4,1q21.3,0.606306951,5.20E-15,4.82E-13
CDC42BPB,14q32.32,-0.606149516,5.30E-15,4.90E-13
ARHGEF17,11q13.4,-0.606030247,5.39E-15,4.95E-13
TRMT112,11q13.1,0.605896665,5.48E-15,5.01E-13
UQCC3,11q12.3,0.605791708,5.56E-15,5.06E-13
C11ORF58,11p15.2,0.60567721,5.64E-15,5.11E-13
HNRNPC,14q11.2,0.604532227,6.54E-15,5.90E-13
PLEC,8q24.3,-0.604479748,6.58E-15,5.90E-13
RSL24D1,15q21.3,0.604460665,6.60E-15,5.90E-13
FBXO4,5p13.1,0.604093316,6.92E-15,6.16E-13
MRPL27,17q21.33,0.603582844,7.39E-15,6.55E-13
LSM4,19p13.11,0.603220266,7.75E-15,6.83E-13
CKS2,9q22.2,0.602671628,8.31E-15,7.30E-13
ATP5MG,11q23.3,0.601898764,9.18E-15,8.03E-13
MRPL9,1q21.3,0.601793808,9.30E-15,8.10E-13
WDR61,15q25.1,0.601731788,9.38E-15,8.13E-13
JTB,1q21.3,0.601641143,9.49E-15,8.18E-13
PSMC3,11p11.2,0.601612518,9.52E-15,8.18E-13
SBF1,22q13.33,-0.601574352,9.57E-15,8.18E-13
DST,6p12.1,-0.600787176,1.06E-14,9.01E-13
POLR3K,16p13.3,0.600472306,1.10E-14,9.34E-13
ATP6V1G1,9q32,0.600286246,1.13E-14,9.52E-13
BCAS2,1p13.2,0.599899814,1.18E-14,9.96E-13
KANSL2,12q13.11,0.599341634,1.27E-14,1.06E-12
ZCCHC10,5q31.1,0.599093555,1.31E-14,1.09E-12
TMCO1,1q24.1,0.598921807,1.34E-14,1.11E-12
MARCHF8,10q11.21-q11.22,-0.598630791,1.39E-14,1.15E-12
SUMO1P3,1q23.2,0.598363628,1.44E-14,1.19E-12
VPS53,17p13.3,-0.598101236,1.49E-14,1.22E-12
UBL5,19p13.2,0.597896093,1.53E-14,1.25E-12
TBC1D9B,5q35.3,-0.597819761,1.54E-14,1.25E-12
OVCA2,17p13.3,0.597495349,1.61E-14,1.30E-12
PCNA,20p12.3,0.597209103,1.67E-14,1.34E-12
IL17RA,22q11.1,-0.597175707,1.67E-14,1.34E-12
ATP5PD,17q25.1,0.597147083,1.68E-14,1.34E-12
RBMX2,Xq26.1,0.596421926,1.84E-14,1.47E-12
E2F6,2p25.1,0.596188159,1.89E-14,1.50E-12
TAF12,1p35.3,0.595844664,1.98E-14,1.56E-12
HERC1,15q22.31,-0.595763561,2.00E-14,1.57E-12
NDUFB10,16p13.3,0.595582272,2.04E-14,1.60E-12
BPGM,7q33,0.595563189,2.05E-14,1.60E-12
HMBS,11q23.3,0.595477315,2.07E-14,1.61E-12
PPP1R8,1p35.3,0.595439149,2.08E-14,1.61E-12
TMEM63A,1q42.12,-0.595434378,2.08E-14,1.61E-12
PSMD9,12q24.31,0.595391441,2.09E-14,1.61E-12
PHB,17q21.33,0.594360956,2.38E-14,1.82E-12
IFT52,20q13.12,0.593984066,2.49E-14,1.90E-12
HMGN2,1p36.11,0.593960212,2.50E-14,1.90E-12
CLEC16A,16p13.13,-0.593793235,2.55E-14,1.93E-12
BBS4,15q24.1,0.593597634,2.62E-14,1.97E-12
C16ORF91,16p13.3,0.593478365,2.66E-14,2.00E-12
CBX6,22q13.1,-0.593416345,2.68E-14,2.00E-12
MRPS36,5q13.2,0.593368637,2.69E-14,2.01E-12
POLR2C,16q21,0.593344783,2.70E-14,2.01E-12
PHB2,12p13.31,0.592691188,2.93E-14,2.17E-12
MED19,11q12.1,0.592395401,3.04E-14,2.24E-12
MIX23,3q21.1,0.592185487,3.12E-14,2.29E-12
ACP1,2p25.3,0.592171175,3.12E-14,2.29E-12
RPA2,1p35.3,0.591913554,3.23E-14,2.35E-12
PPP1R35,7q22.1,0.591875388,3.24E-14,2.35E-12
DUSP11,2p13.1,0.591775202,3.28E-14,2.38E-12
MED28,4p15.32,0.591307667,3.48E-14,2.51E-12
RPL39,Xq24,0.591164544,3.54E-14,2.54E-12
DIP2C,10p15.3,-0.591064358,3.58E-14,2.56E-12
CWC15,11q21,0.591040504,3.59E-14,2.56E-12
RPS7,2p25.3,0.590983255,3.62E-14,2.57E-12
COMMD10,5q23.1,0.590730404,3.73E-14,2.64E-12
HAX1,1q21.3,0.590572969,3.81E-14,2.69E-12
RINT1,7q22.3,0.59051572,3.83E-14,2.70E-12
EIF5AL1,10q22.3,0.590167454,4.00E-14,2.80E-12
PPA2,4q24,0.589719002,4.23E-14,2.95E-12
SNRPC,6p21.31,0.589070178,4.58E-14,3.19E-12
NDUFA12,12q22,0.588865035,4.69E-14,3.25E-12
ELOC,8q21.11,0.588779161,4.74E-14,3.28E-12
LYPLA1,8q11.23,0.588640809,4.82E-14,3.32E-12
FAM220A,7p22.1,0.5883975,4.97E-14,3.41E-12
CAMTA2,17p13.2,-0.588263919,5.05E-14,3.45E-12
SMIM26,20p11.23,0.588173274,5.11E-14,3.48E-12
HIF1AN,10q24.31,-0.587934736,5.26E-14,3.57E-12
RAMAC,15q25.2,0.587185726,5.76E-14,3.90E-12
LSM10,1p34.3,0.58714756,5.79E-14,3.90E-12
BCL7B,7q11.23,0.587037832,5.87E-14,3.94E-12
PSMA7,20q13.33,0.586966271,5.92E-14,3.96E-12
UNC50,2q11.2,0.586918563,5.95E-14,3.97E-12
BEND3P3,10q22.3,-0.58640332,6.34E-14,4.22E-12
TACO1,17q23.3,0.586198178,6.50E-14,4.31E-12
DPH5,1p21.2,0.585878536,6.75E-14,4.46E-12
ZCCHC9,5q14.1,0.585754496,6.86E-14,4.52E-12
SELENOS,15q26.3,0.585535041,7.04E-14,4.62E-12
TBL2,7q11.23,0.585191546,7.34E-14,4.80E-12
HIKESHI,11q14.2,0.585024569,7.49E-14,4.88E-12
IFT20,17q11.2,0.584986403,7.52E-14,4.89E-12
SUFU,10q24.32,-0.584943466,7.56E-14,4.90E-12
SUN2,22q13.1,-0.584890988,7.61E-14,4.91E-12
ELOB,16p13.3,0.58484328,7.65E-14,4.93E-12
ZDHHC4,7p22.1,0.584786031,7.71E-14,4.95E-12
TIMM10,11q12.1,0.584561805,7.92E-14,5.06E-12
RPAP2,1p22.1,0.584361433,8.11E-14,5.17E-12
FARSB,2q36.1,0.584270789,8.20E-14,5.21E-12
PAM16,16p13.3,0.5840895,8.38E-14,5.31E-12
TAF9,5q13.2,0.584037021,8.44E-14,5.33E-12
CIAO2A,15q22.31,0.583984543,8.49E-14,5.34E-12
LAMTOR5,1p13.3,0.583808024,8.67E-14,5.44E-12
ATP6V1F,7q32.1,0.583264157,9.26E-14,5.79E-12
PRKAG1,12q13.12,0.583020848,9.53E-14,5.94E-12
ZBTB7A,19p13.3,-0.582877725,9.70E-14,6.03E-12
CMC1,3p24.1,0.582558084,1.01E-13,6.24E-12
ROMO1,20q11.22,0.582228901,1.05E-13,6.47E-12
NDUFA2,5q31.3,0.582209818,1.05E-13,6.47E-12
NDUFB1,14q31.3,0.582109632,1.06E-13,6.51E-12
ALG8,11q14.1,0.582100091,1.06E-13,6.51E-12
MRPS35,12p11.22,0.58190926,1.09E-13,6.64E-12
NDUFAF2,5q12.1,0.58147512,1.15E-13,6.97E-12
UQCRH,1p33,0.581360622,1.16E-13,7.05E-12
FAM216A,12q24.11,0.581336768,1.17E-13,7.05E-12
ATP5PO,21q22.11,0.58072611,1.25E-13,7.56E-12
ELP6,3p21.31,0.580611612,1.27E-13,7.64E-12
EBNA1BP2,1p34.2,0.580482801,1.29E-13,7.73E-12
MRPL24,1q23.1,0.580134536,1.35E-13,8.03E-12
POLR1C,6p21.1,0.580072516,1.36E-13,8.07E-12
KLF13,15q13.3,-0.580020037,1.36E-13,8.09E-12
MRPL1,4q21.1,0.579814894,1.40E-13,8.24E-12
MITD1,2q11.2,0.579814894,1.40E-13,8.24E-12
TMEM126A,11q14.1,0.579767187,1.41E-13,8.26E-12
PTGES3,12q13.3,0.579743333,1.41E-13,8.26E-12
METTL5,2q31.1,0.57972425,1.41E-13,8.26E-12
DCTN1,2p13.1,-0.579323506,1.48E-13,8.63E-12
ZNF142,2q35,-0.579304422,1.48E-13,8.63E-12
MRPL49,11q13.1,0.57922809,1.50E-13,8.68E-12
ANKS1A,6p21.31,-0.579065884,1.53E-13,8.83E-12
SMIM30,7q31.1,0.578984781,1.54E-13,8.88E-12
PDZD8,10q25.3-q26.11,-0.578965698,1.55E-13,8.88E-12
RPTOR,17q25.3,-0.578903678,1.56E-13,8.90E-12
RANGRF,17p13.1,0.578894137,1.56E-13,8.90E-12
UTP11,1p34.3,0.578817804,1.57E-13,8.96E-12
ARPC1A,7q22.1,0.578316874,1.67E-13,9.48E-12
ARFGEF3,6q23.3-q24.1,-0.578254854,1.68E-13,9.52E-12
POLR2K,8q22.2,0.578044941,1.72E-13,9.73E-12
NDUFB5,3q26.33,0.577634655,1.81E-13,1.02E-11
GTPBP10,7q21.13,0.577629884,1.81E-13,1.02E-11
KRCC1,2p11.2,0.577610801,1.81E-13,1.02E-11
POT1,7q31.33,0.577586947,1.82E-13,1.02E-11
MDN1,6q15,-0.577224369,1.90E-13,1.06E-11
HAT1,2q31.1,0.57716712,1.91E-13,1.06E-11
MRPL3,3q22.1,0.577109871,1.92E-13,1.06E-11
C7ORF25,7p14.1,0.576690043,2.02E-13,1.12E-11
H2AZ1,4q23,0.576589857,2.04E-13,1.13E-11
RAE1,20q13.31,0.57641811,2.09E-13,1.15E-11
PIGF,2p21,0.576208196,2.14E-13,1.17E-11
DUT,15q21.1,0.576179572,2.15E-13,1.17E-11
ACTL6A,3q26.33,0.576112781,2.16E-13,1.18E-11
CHCHD2,7p11.2,0.575898096,2.22E-13,1.20E-11
PWP1,12q23.3,0.575712037,2.27E-13,1.23E-11
RPS13,11p15.1,0.575349459,2.36E-13,1.27E-11
MTERF1,7q21.2,0.575344688,2.37E-13,1.27E-11
TIPIN,15q22.31,0.575325605,2.37E-13,1.27E-11
CDK5,7q36.1,0.57517294,2.41E-13,1.29E-11
SRI,7q21.12,0.575158628,2.42E-13,1.29E-11
PSMG2,18p11.21,0.57510615,2.43E-13,1.30E-11
ZNHIT3,17q12,0.574943944,2.48E-13,1.32E-11
SNRNP40,1p35.2,0.574910548,2.49E-13,1.32E-11
TMEM11,17p11.2,0.574791279,2.52E-13,1.33E-11
PIGY,4q22.1,0.574757884,2.53E-13,1.34E-11
MRPS7,17q25.1,0.574676781,2.56E-13,1.34E-11
SRA1,5q31.3,0.574390535,2.64E-13,1.39E-11
LRR1,14q21.3,0.574051811,2.75E-13,1.44E-11
C6ORF52,6p24.2,0.573949924,2.78E-13,1.45E-11
GMNN,6p22.3,0.573918229,2.79E-13,1.45E-11
EIF3M,11p13,0.573899146,2.80E-13,1.45E-11
TAF7,5q31.3,0.573631983,2.89E-13,1.49E-11
PTS,11q23.1,0.573326654,2.99E-13,1.54E-11
GTF3A,13q12.2,0.573040408,3.09E-13,1.59E-11
NDUFA7,19p13.2,0.573021325,3.10E-13,1.59E-11
FRG1,4q35.2,0.572763704,3.20E-13,1.64E-11
SNRPB,20p13,0.572496541,3.30E-13,1.68E-11
OSTC,4q25,0.572334335,3.36E-13,1.71E-11
ABCA2,9q34.3,-0.5721769,3.42E-13,1.74E-11
SMIM4,3p21.1,0.571838176,3.56E-13,1.80E-11
COPZ1,12q13.13,0.571790468,3.58E-13,1.81E-11
MAIP1,2q33.1,0.570702734,4.05E-13,2.04E-11
MRPL17,11p15.4,0.570468966,4.16E-13,2.09E-11
NDUFB6,9p21.1,0.570364009,4.22E-13,2.11E-11
TRMT10C,3q12.3,0.570259053,4.27E-13,2.13E-11
DYNLT2B,3q29,0.569710415,4.54E-13,2.27E-11
RNF25,2q35,0.569696102,4.55E-13,2.27E-11
USF3,3q13.2,-0.569648395,4.58E-13,2.27E-11
MINK1,17p13.2,-0.569634082,4.58E-13,2.27E-11
HERC2,15q13.1,-0.56949573,4.66E-13,2.30E-11
THAP5,7q31.1,0.569405086,4.71E-13,2.32E-11
PARPBP,12q23.2,0.569161777,4.84E-13,2.38E-11
SUCLG1,2p11.2,0.568980488,4.94E-13,2.42E-11
POLR2H,3q27.1,0.568842135,5.02E-13,2.46E-11
EMG1,12p13.31,0.568627451,5.14E-13,2.51E-11
GPN1,2p23.3,0.568226707,5.38E-13,2.62E-11
PYM1,12q13.2,0.568178999,5.41E-13,2.63E-11
ANKRD52,12q13.3,-0.568145604,5.43E-13,2.63E-11
TMEM9,1q32.1,0.567864129,5.61E-13,2.71E-11
HECA,6q24.1,-0.567821192,5.64E-13,2.72E-11
ATP5PF,21q21.3,0.567453843,5.88E-13,2.83E-11
TMEM14C,6p24.2,0.567429989,5.90E-13,2.83E-11
AAK1,2p13.3,-0.567057869,6.15E-13,2.94E-11
BCDIN3D,12q13.12,0.566833643,6.31E-13,3.01E-11
ATXN1L,16q22.2,-0.566552168,6.51E-13,3.10E-11
LAMTOR3,4q23,0.566423358,6.61E-13,3.14E-11
UTP18,17q21.33,0.566413816,6.62E-13,3.14E-11
DYNC1H1,14q32.31,-0.566285005,6.72E-13,3.17E-11
TMEM258,11q12.2,0.566113258,6.85E-13,3.23E-11
MICOS10,1p36.13,0.565960593,6.97E-13,3.28E-11
TMEM203,9q34.3,0.565917657,7.00E-13,3.29E-11
RAP1B,12q15,0.565607557,7.25E-13,3.39E-11
BZW1,2q33.1,0.565593245,7.26E-13,3.39E-11
SNRPA1,15q26.3,0.565583703,7.27E-13,3.39E-11
FYCO1,3p21.31,-0.565535995,7.31E-13,3.39E-11
HINT1,5q23.3,0.565531225,7.31E-13,3.39E-11
SRSF3,6p21.31-p21.2,0.565459663,7.37E-13,3.41E-11
BFAR,16p13.12,0.565345165,7.47E-13,3.45E-11
NDUFC2,11q14.1,0.565211583,7.58E-13,3.49E-11
MYL12B,18p11.31,0.565097085,7.68E-13,3.53E-11
ZNF469,16q24.2,-0.564996899,7.77E-13,3.56E-11
PFKFB3,10p15.1,-0.564887171,7.87E-13,3.60E-11
RALA,7p14.1,0.564672487,8.06E-13,3.68E-11
UXT,Xp11.23,0.564639092,8.09E-13,3.68E-11
COX7B,Xq21.1,0.564624779,8.10E-13,3.68E-11
